String / string group: ['re use', 'reuse', 're using', 'reusing']

titles
year;number of occurrences;corresponding docdb family IDs
2013;17;{47501216, 49292547, 48696166, 49368582, 48817160, 46982666, 48721742, 48465783, 48698865, 49858610, 49688179, 49564564, 49551221, 48904918, 47677142, 47506710, 49220086}
2014;11;{52229283, 50475588, 51620133, 49920681, 49956041, 51523499, 51132526, 51299854, 50341842, 50252248, 51769819}
2015;18;{54907908, 49911687, 52142952, 53866763, 53620715, 53620716, 55080718, 53813679, 53125936, 53402929, 54016562, 53681554, 53274068, 53877584, 53369590, 54934864, 53092698, 54766206}
2016;27;{55753606, 55651868, 55549859, 56614436, 55302826, 55302827, 56594090, 51211566, 56872879, 55552304, 56996143, 56879156, 55749825, 57048641, 55263171, 55455684, 55456581, 57584324, 55749831, 55264591, 55537233, 56872403, 56747604, 57087833, 56284148, 56014710, 56798719}
2017;19;{57485827, 60324744, 58601490, 53498910, 59434151, 58988841, 58762286, 59275954, 58940723, 59314233, 59832002, 59228611, 58762967, 58340312, 59398751, 60382689, 59499367, 59115239, 59018476}
2018;21;{61140225, 61129474, 64454152, 63971603, 63108376, 63674268, 62110365, 63042223, 61246384, 64105012, 63096886, 62955321, 63263673, 62653500, 61906114, 63918410, 62907340, 61256531, 63198164, 63925470, 64363500}
2019;36;{66631809, 66819970, 65900298, 66750603, 68059276, 66277773, 66282510, 65051407, 68515085, 67991058, 65041299, 68616211, 68727833, 66964507, 66189983, 67218345, 65514795, 68856236, 66297910, 67009848, 65655870, 68547008, 66673476, 66820940, 61827664, 65948886, 68850012, 68769117, 64798046, 67908577, 65001701, 68467560, 65352305, 62091762, 65233142, 68119288}



String / string group: ['recover', 'recovering', 'retrieve', 'retrieving']

titles
year;number of occurrences;corresponding docdb family IDs
2001;1;{19622773}
2003;1;{29578225}
2004;2;{32708592, 33490617}
2005;2;{34896400, 35320515}
2006;2;{35799952, 35781698}
2007;5;{38327205, 38955887, 37778417, 38217750, 38517947}
2008;3;{38792720, 39714218, 39904678}
2009;2;{41001602, 40668790}
2011;8;{44958118, 43780135, 44130762, 42813327, 43534323, 42830068, 44216691, 44904024}
2012;13;{47217248, 48804066, 46244741, 45869529, 46563532, 47009135, 46382773, 46934166, 47070773, 45420984, 43720025, 47217245, 47295672}
2013;10;{48699169, 48962850, 48817160, 48872968, 47563320, 48534797, 48043478, 47080184, 48947101, 49852287}
2014;8;{47598886, 51689383, 49876712, 51688970, 50101167, 51850383, 50649342, 50627679}
2015;3;{54766360, 52778419, 53877583}
2016;10;{55630593, 55630594, 55455683, 55163980, 54476944, 55552304, 57007186, 56365110, 57007230, 56615678}
2017;8;{60382689, 59062919, 56740266, 58461390, 58601490, 57989139, 59148114, 59895643}
2018;10;{61140225, 61129474, 58739075, 63594084, 63676327, 64454152, 62907340, 62190574, 65432112, 57233617}
2019;13;{65810465, 68060383, 65524995, 65243660, 68059276, 67951023, 66951507, 66297910, 66243287, 62386808, 67687862, 65232894, 66189983}

abstracts
year;number of occurrences;corresponding docdb family IDs
2000;5;{14208649, 16240620, 26455854, 27382039, 16161498}
2001;10;{17087968, 34635971, 26244804, 7628711, 18553132, 26509776, 18599509, 19622773, 27079669, 18581980}
2002;3;{8176808, 19709666, 26681486}
2003;10;{31987264, 30770881, 19116355, 19123979, 29578225, 29721393, 29270609, 19175161, 29736380, 19135903}
2004;12;{33432228, 32040873, 32468874, 32338827, 30000879, 32708592, 31943922, 32588211, 33490617, 32171036, 33157246, 32985055}
2005;9;{34746824, 34131627, 34100940, 34833711, 34896400, 34098357, 34431446, 34090556, 34090527}
2006;5;{37519651, 35462256, 35799952, 36777016, 36089855}
2007;16;{38117952, 38372098, 37944132, 38327205, 38478278, 38242889, 38955887, 37778417, 39758737, 37603669, 38181782, 48096375, 38217750, 37716986, 38517947, 37878783}
2008;11;{39219169, 39184225, 39777539, 39904678, 39032904, 49684330, 39226124, 39364655, 39314160, 38792720, 39736432}
2009;18;{40674081, 41001602, 41198275, 40549537, 40488870, 40039723, 41114349, 41254702, 39110831, 41053424, 41429903, 41684178, 40605459, 40717428, 40668790, 40384631, 41133462, 40291226}
2010;14;{42828325, 42935813, 42188584, 42935753, 45004265, 43300218, 42934641, 41706970, 43111827, 42036950, 43513367, 42739289, 43029434, 42730139}
