BW,0.034482758620689655
MH,0.043478260869565216
GF,0.05263157894736842
CS,0.0625
LR,0.07692307692307693
SN,0.08333333333333333
AN,0.09090909090909091
KH,0.09090909090909091
GL,0.1
GH,0.125
KN,0.1380952380952381
LC,0.14285714285714285
MM,0.14285714285714285
SL,0.14285714285714285
AL,0.16666666666666666
JE,0.2269230769230769
ZM,0.25
TZ,0.30000000000000004
ML,0.3333333333333333
NI,0.3333333333333333
SH,0.3333333333333333
ET,0.3472222222222222
GY,0.36566576698155645
PE,0.41909288968112496
NG,0.43452380952380953
DM,0.5
SC,0.5
CM,0.5419631093544137
UZ,0.5928571428571429
NE,0.6
AM,0.6111111111111112
KG,0.6428571428571428
GE,0.6517094017094016
NP,0.6645021645021645
NC,0.6666666666666666
MK,0.8
AD,0.9
BB,0.9285714285714284
KW,1.0
LA,1.0
AZ,1.0833333333333333
BA,1.1776315789473684
LB,1.33015873015873
CR,1.3333333333333333
VG,1.3333333333333333
KY,1.475108225108225
MC,1.6
NA,1.7
JO,1.7023809523809523
PA,1.7928571428571427
MO,1.8333333333333333
LI,1.8899371069182387
DO,2.3333333333333335
KP,2.444370395686185
VE,2.4710196722367104
TN,2.4769841269841275
KZ,2.611111111111111
DZ,2.697557997557998
KE,3.0350760350760355
CY,3.2222222222222228
PK,3.2238095238095235
LV,3.25
PH,3.4517246642246646
IS,3.6483516483516483
LT,4.0
BD,4.089743589743592
RS,4.156178032493822
BY,4.186219336219337
LK,4.280943544759335
VN,4.732586857586857
HR,5.996480785296575
CO,6.1581099456099455
EG,6.232814407814407
QA,6.266666666666666
ID,7.277060439560439
IR,7.356937403841428
AR,7.372222222222221
GR,9.615272826588612
BS,9.816666666666666
AE,10.0
SK,10.147059884559884
MA,10.181372549019603
EE,11.288207547169797
CL,12.207353051431994
LU,13.17714736953867
BG,14.523679506767737
MT,16.908333333333335
SI,18.126692751692783
PT,20.160064935064902
TH,22.649816294816294
HU,29.741468253968254
CZ,37.06887665061499
RO,38.64544699366683
MX,39.576574753748694
SA,39.894119769119776
BR,45.173735021017656
MY,52.127932397493154
ZA,52.633675900123336
IE,52.93399100899102
UA,53.07453875788788
PL,61.34946546401672
TR,87.47403381642522
NO,120.08010556694771
HK,127.89696877196883
RU,146.1819567605991
DK,147.70236844339018
NZ,162.58865889012927
SG,166.7151563048239
BE,207.67346438180942
AU,226.31086435116617
ES,277.4642799361687
FI,295.3568256656842
IN,300.1844668410047
IL,319.88726373561275
NL,420.94896621430075
CH,475.4697881502625
SE,506.5314750948907
AT,552.8332919006737
IT,596.4851028126022
CA,973.8872179510734
GB,1227.3823983530758
FR,2528.540721230461
TW,3292.1318740304105
CN,8714.981650504304
DE,8747.340386685815
US,13383.210053948007
KR,13952.00210116882
JP,32045.05696932181
