"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Belgium","BEL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3948785","4037998","4076717","4100442","4163102","4195001","4197314","4218130","4255347","4367421","4411179","4307487","4350326","4381417","4465025","4615968","4634578","4722508","4766246","4788011","4887584","4866906","4902501","4957130","4983423","5001378","5005317","5037594","5089752","5137174","5114000",
"Benin","BEN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1954738","2022590","2096695","2177686","2260588","2343983","2416054","2488774","2563078","2640012","2720342","2800060","2884089","2983550","3084716","3186577","3280107","3374162","3469969","3568062","3670264","3771850","3887511","4007402","4132579","4265258","4398456","4536724","4679151","4826125","4925314",
"Burkina Faso","BFA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3864426","3962804","4043325","4129515","4221045","4317470","4403295","4495811","4594102","4695914","4801029","4895790","4996384","5101631","5211769","5324920","5428596","5543650","5662495","5782783","5904582","6015191","6129357","6243978","6356670","6568635","6784055","7005173","7234180","7472712","7602668",
"Bangladesh","BGD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34549268","35582009","36652372","37770096","38939687","40158722","41332912","42556760","43816553","45096776","46396329","47594678","48822072","50053926","51262016","52426890","53403749","54334218","55251876","56177974","57130927","58198463","59278816","60365191","61481328","62591429","63705497","67462312","68844397","70160182","67225702",
"Bulgaria","BGR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3998556","3981388","3968612","3900040","3848636","3789075","3728148","3661442","3587797","3513739","3437093","3508326","3419146","3349557","3392066","3333191","3439496","3513312","3576886","3501419","3416246","3332677","3342114","3367629","3360446","3333925","3264392","3357463","3327434","3377388","3242044",
"Bahrain","BHR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217075","222214","229880","238537","247952","257704","264020","271328","280099","291248","305457","325875","349787","378707","413262","453363","501701","556598","614168","668265","714129","726938","739594","747277","758316","777886","817935","869479","927124","981661","1010054",
"Bahamas, The","BHS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124677","129367","133611","137505","141363","144500","146807","149381","152222","155071","157812","161449","165028","168458","171839","175315","179686","183847","187764","191562","195390","199130","203135","207174","211211","215085","219162","222764","226108","229479","221175",
"Bosnia and Herzegovina","BIH","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1676279","1677090","1642190","1582345","1521124","1462878","1426725","1417207","1408540","1393727","1388671","1385363","1383872","1386539","1385362","1372768","1370139","1396445","1422427","1419351","1434405","1409640","1404455","1377994","1387330","1364102","1347152","1329020","1319663","1336172","1297577",
"Belarus","BLR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4653636","4644316","4676871","4714581","4762549","4805531","4805802","4772053","4753410","4759530","4804502","4840892","4874545","4906782","4936618","4964064","4980941","5006568","5035730","5064611","5086439","5091667","5093837","5094414","5092706","5090914","5088830","5076176","5063569","5006274","4899889",
"Belize","BLZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62014","63503","64762","65989","67476","69725","72889","76789","81022","85310","89514","93649","97773","101941","106271","110816","114812","118888","123026","127218","131449","136108","140786","145524","151512","156863","164049","168355","173734","178991","172711",
