"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Eritrea","ERI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1003638","993660","975581","952838","929125","910588","911836","917494","929806","950325","980453","1036397","1101416","1172275","1242803","1308803","1355748","1396561","1433231","1462275","1487332","1500951","1511428","1521072","1522608","1532016","1551735","1571983","1589292","1612622","1545718",
"Spain","ESP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15597754","15745935","15890858","16121462","16432939","16549924","16829562","17156870","17432865","17758807","18277071","18211898","19062141","19838783","20512253","21285000","21903811","22460014","23072041","23335479","23534138","23571937","23582846","23385043","23181794","23116192","23102718","23046661","23065836","23227683","22799921",
"Estonia","EST","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","772211","764865","752033","733781","718361","704343","693943","695432","680740","673757","679299","669081","654709","677787","678243","673799","693457","692000","697853","690538","683977","687756","684569","680794","675991","686206","695233","703706","705794","703864","699106",
"Ethiopia","ETH","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20024654","20707772","21446154","22192181","22972492","23903941","24768102","25648376","26548814","27490386","28473853","29396180","30377525","31405537","32463726","33556131","34549769","35597467","36712011","37911097","39198184","40615913","42103427","43655861","45168516","46716415","48237012","49794755","51400750","53021347","52799277",
"European Union","EUU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","192634757","194645740","194201372","194037612","194509092","194485982","194858813","195581266","196617340","198150608","199221773","199489847","200152838","201934523","203399185","205366120","206994780","208541072","210177720","210704338","211315739","210705048","211995124","212558044","213228665","213612399","214556974","215697847","216489625","217001640","214418584",
"Fragile and conflict affected situations","FCS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161894033","166574765","171531831","176846820","182233285","187801709","192680049","197625071","202610313","207843097","213354173","218560485","223896204","229596549","235470202","241477844","246810464","252171819","257654293","263107776","269016105","275580264","279825571","284871698","291616876","298769511","304937593","312683053","321757679","330025718","326916091",
"Finland","FIN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2623064","2581373","2536887","2514816","2494328","2474910","2457362","2503945","2522404","2566138","2586118","2608246","2623353","2620803","2611527","2627895","2661292","2690708","2718910","2689527","2679149","2692288","2698827","2684110","2687528","2695567","2688740","2709253","2742645","2748960","2765434",
"Fiji","FJI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","269148","273775","277473","282599","287575","293159","296256","298218","300063","301423","302283","307486","311836","315832","320180","325147","333805","343776","354505","365216","375131","382757","376484","369237","361559","358246","356405","357468","359388","362136","357260",
"France","FRA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25839723","25829239","26039657","26166392","26247430","26390639","26716062","26687541","26855266","27157790","27360311","27428362","27764307","28324478","28503488","28785772","28940311","29187473","29400557","29646366","29744934","29747010","29982661","30128150","30070800","30155958","30220666","30287563","30438691","30385859","30033626",
"Faroe Islands","FRO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","258563","264272","271421","278249","285470","292986","300992","309333","318422","329833","340607","350922","362420","374359","387788","402151","419293","436497","457285","479447","502500","525361","551213","578951","607823","636636","659785","681864","702664","721991","726653",
"United Kingdom","GBR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29049409","28920029","28749322","28512327","28453491","28419273","28519475","28693192","28764274","29051272","29296965","29262079","29590990","29872352","30149293","30597414","31044498","31253081","31667267","31852655","32039432","32227412","32582928","32899156","33196454","33483035","33799601","34011299","34331422","34639274","34738347",
"Georgia","GEO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2429048","2481355","2541253","2610166","2629057","2530398","2389807","2271508","2204157","2149660","2048942","2105452","2033008","2075506","2036509","2026193","2030337","2034084","2040530","2032801","2060426","2070938","2080962","2053726","2072575","2090770","2060003","2002172","1922142","1892372","1892477",
"Ghana","GHA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6171567","6369543","6578160","6792939","7011097","7228377","7436876","7644511","7852909","8067597","8292043","8466936","8656006","8855226","9063223","9278696","9502691","9760132","10023234","10287371","10550764","10786972","11020771","11250603","11480139","11708360","12007122","12304194","12611143","12919340","12934257",
"Gibraltar","GIB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2240269","2296332","2352498","2408601","2466274","2525980","2583575","2643022","2704505","2765515","2825616","2874696","2920892","2970436","3022511","3078722","3147475","3217619","3293950","3376457","3456143","3538281","3623092","3713575","3810623","3915432","4029340","4153767","4290406","4433672","4456144",
"Gambia, The","GMB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","309273","319413","328917","338112","347353","356978","365484","374620","384576","395319","407093","420397","434640","449881","466111","483279","499962","517634","536280","555906","576716","596906","618334","639157","661577","683895","706593","729642","753285","777591","775068",
"Guinea-Bissau","GNB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","383215","391236","399881","408840","418186","427849","435369","443634","454384","464036","474097","485668","498245","511635","525597","540215","554756","570000","586087","602956","620595","637997","657184","676792","697013","717283","737381","757877","779105","800827","792581",
"Equatorial Guinea","GNQ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143312","148057","152956","158245","164118","170660","177060","184486","192958","202406","212734","222271","233066","245246","258737","273505","287291","302777","319981","338707","358577","375149","393137","412680","433715","455687","471729","489286","508608","529668","539283",
"Greece","GRC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4204147","4171687","4290426","4329563","4437374","4529780","4627739","4653960","4787045","4862505","4897352","4840121","4895009","4944448","5035461","5033989","5049127","5027123","5014236","5045727","5044713","4984694","4944293","4894410","4839324","4825164","4822179","4812802","4804069","4822612","4751026",
"Grenada","GRD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3033932","3126854","3216794","3305692","3398602","3498632","3594957","3700953","3815764","3931638","4049896","4178948","4304559","4427079","4556541","4669990","4789180","4916731","5048980","5182354","5313966","5455904","6048464","5761601","5969910","6098206","6307693","6499051","6690059","6879134","6410911",
"Guam","GUM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65484","66907","68158","69306","70270","71219","71981","72673","73401","74081","74576","74871","75038","75167","75010","75017","75390","75583","75779","76061","76245","76579","76796","77075","77449","78015","78690","79524","80464","81292","80332",
"Guyana","GUY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","283526","285822","288124","290165","288929","287047","285746","284015","281646","278664","275214","271865","268156","267518","267023","266831","269669","272577","275583","278775","282086","285076","288358","291845","295168","298280","301107","303980","306673","309040","291832",
"High income","HIC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","479147902","484586608","487462617","490071722","495058838","499744981","504642417","510280355","514341397","519478605","524576047","527761511","532406100","537014166","541792600","548696878","555200577","561815275","569006007","572193581","575335400","577474922","583059305","586819405","591407572","595888012","601720335","606801395","611773849","616748753","610637856",
"Hong Kong SAR, China","HKG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2870844","2922001","2916924","2953549","3023445","3103915","3237265","3265640","3307859","3352418","3395033","3442592","3499049","3491619","3534627","3555654","3598122","3653858","3666619","3685255","3659197","3725098","3808817","3882599","3901539","3936097","3951392","3961426","3961533","3940634","3807825",
"Honduras","HND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1770426","1830016","1896861","1967049","2036815","2112788","2189682","2271088","2354450","2438228","2483269","2523585","2597178","2673868","2751575","2829198","2852113","2898688","3027426","3178787","3340843","3329667","3382395","3710175","3908150","4020714","4109456","4273421","4499901","4627392","4122919",
"Heavily indebted poor countries (HIPC)","HPC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138801200","142907249","147279120","151836406","156540572","161456636","166005042","170654857","175513948","180555368","185827636","191039552","196655420","202542978","208652821","214886520","220479738","226079485","231876600","237882410","244123482","250544675","256967973","264599679","272302968","280340382","289164006","298207435","308021762","317805074","318933104",
"Croatia","HRV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2223305","2174220","2109907","2109149","2120067","2091976","2054997","2035763","2024438","2007344","1981995","1898934","1872650","1884546","1935313","1935922","1921755","1936709","1941209","1937468","1913390","1875738","1855060","1834112","1885233","1887425","1828470","1821332","1794835","1788035","1775337",
"Haiti","HTI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2695469","2741372","2783820","2826006","2871276","2920519","2970539","3024266","3081340","3140502","3200328","3285928","3375155","3468179","3564196","3663181","3761160","3861178","3962670","4066987","4171083","4278357","4387294","4497080","4607433","4716759","4826160","4935064","5044201","5152876","4972457",
"Hungary","HUN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4505424","4512476","4529838","4385274","4256189","4183016","4079195","4011290","4066404","4139644","4160523","4147526","4150352","4221846","4202009","4273721","4304768","4287505","4259063","4258401","4299585","4316650","4369588","4403114","4527225","4617150","4685874","4714433","4732212","4750636","4732423",
"IBRD only","IBD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1551356751","1577996462","1608961751","1637351207","1670075003","1698061396","1726984504","1754437197","1781104791","1812491545","1842272433","1865125849","1891263353","1919897156","1951748041","1979762304","1998925000","2021270938","2038379707","2056170522","2069678758","2086800370","2106790508","2125342066","2141511940","2158720078","2173810459","2188536471","2202355011","2219054124","2148486068",
"IDA & IBRD total","IBT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1856094473","1891303439","1931259979","1968694841","2011486988","2048880487","2087769240","2125655753","2162658405","2204970462","2245826671","2279139671","2315788326","2355751666","2399102218","2438120936","2468050430","2501694809","2530408179","2560398306","2586921289","2616670287","2647115480","2677055176","2706154537","2738662988","2767778890","2800736803","2832000359","2865963153","2789030570",
"IDA total","IDA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","304737722","313306977","322298228","331343635","341411984","350819091","360784736","371218556","381553615","392478916","403554238","414013822","424524974","435854510","447354177","458358632","469125430","480423872","492028473","504227785","517242530","529869917","540324973","551713110","564642597","579942910","593968431","612200331","629645347","646909029","640544502",
"IDA blend","IDB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93234647","95694280","98356710","100786261","103930224","106144036","109462918","113012855","116134246","119599216","123257972","126182683","129171992","132831248","136555665","139543893","143015134","147007945","150939868","155444881","160115564","164702198","167363637","170077194","174040486","179394579","183179936","188591323","194120006","200122088","197403098",
"Indonesia","IDN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76019658","77540403","79955822","80985420","84657744","86837592","88974409","90461719","93520509","95875721","98570552","98977592","98795437","99698352","101661440","101406835","103518192","108975289","111341189","113074389","115646091","117856119","120696619","121497604","123120470","124657269","125958781","129204841","132587588","135802879","134616083",
"IDA only","IDX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211503075","217612697","223941518","230557374","237481761","244675055","251321819","258205701","265419369","272879700","280296266","287831139","295352982","303023263","310798511","318814739","326110296","333415927","341088605","348782904","357126967","365167719","372961335","381635916","390602111","400548332","410788495","423609009","435525341","446786941","443141405",
"Isle of Man","IMN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","316588187","323876939","331499598","339466984","347825706","355762854","363481576","371478400","379715280","388187397","396836569","406722321","416990135","427513796","438149349","449085795","451850201","454681299","457434579","460259988","462951194","463753497","464760493","469135490","473313171","477296180","481187327","484539161","487631036","494732703","471688990",
"Not classified","INX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1431684","1460882","1448756","1484606","1520608","1545888","1593839","1643047","1730230","1807565","1868665","1906350","1951540","1996514","2046543","2161417","2244396","2327581","2348537","2309811","2273937","2252958","2245011","2263744","2267426","2283088","2321777","2344215","2385518","2429748","2427093",
"Iran, Islamic Rep.","IRN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14221796","14479441","14773979","15065547","15364086","15681583","16086199","16777765","17509046","18299623","19158636","20095759","21089194","22126722","23170990","24209910","24201525","24164868","23406695","24064901","24035523","24155493","24266673","24357612","24418459","25357014","26558433","27421048","27769359","28212245","26813322",
"Iraq","IRQ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3965931","4096545","4233335","4400986","4583989","4756501","4944684","5128692","5308469","5494338","5684367","5868160","6060126","6251655","6434563","6604400","6728910","6836817","6954044","7098054","7283181","7599635","7963675","8511018","9083658","9492501","9814443","9803744","10163569","10469143","10356947",
"Iceland","ISL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142088","144011","147816","147890","149440","155109","153707","153671","158872","164024","169243","171628","171169","172114","173092","174967","181720","187329","189969","187696","188670","187884","189218","193193","198705","203037","208267","210572","212896","215408","215798",
"Israel","ISR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1889118","2023799","2124521","2245874","2348309","2434321","2479910","2530681","2581479","2668670","2768157","2834925","2860781","2931500","3010834","3085530","3170975","3261728","3326750","3411485","3495104","3543276","3642686","3715106","3806531","3876859","3956081","4025082","4102566","4159779","4136200",
"Italy","ITA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23910156","24086214","23332081","23200481","23004808","22873532","22962081","22988175","23125172","23257745","23280458","23403759","23665701","23976861","24515472","24356055","24395026","24378950","24708566","24506451","24462579","24477992","25033693","25171796","25569875","25540323","25812534","25985393","26032169","25787158","25080671",
"Jamaica","JAM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1126069","1141843","1156751","1171511","1186295","1190789","1194453","1195785","1194373","1200498","1205204","1210490","1215418","1219820","1230099","1239066","1250652","1261561","1272796","1284589","1297003","1309761","1322325","1363025","1378857","1402305","1445342","1477030","1473383","1502858","1457011",
"Jordan","JOR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","777189","850854","916676","997893","1077762","1151270","1190714","1222451","1249468","1274562","1299796","1327778","1346874","1361866","1404997","1455960","1507627","1630985","1702117","1828703","1897304","1975965","2049550","2112264","2224664","2330983","2426998","2511178","2585020","2649637","2595850",
"Japan","JPN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63841954","65037811","65961443","66335548","66605159","66856477","67372482","67983534","68043306","67833639","67653961","67599932","67173004","67063142","66721958","66732911","66797644","67140152","67097473","66913176","66668692","66039729","65639410","65967826","66176723","66364638","66854062","67285071","68355056","68838956","68680759",
"Kazakhstan","KAZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7961244","8056030","8092124","8144575","8142132","8060136","7975335","7871985","7780055","7729119","7698699","7690521","7714111","7762577","7806603","7952005","8084175","8229094","8439503","8573098","8721578","8808571","8893426","8972219","9061237","9115881","9071276","9004270","9034737","9060001","8778458",
"Kenya","KEN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8868997","9210308","9574243","9952036","10335805","10720069","11086541","11448645","11811409","12191560","12432852","12617406","12814411","13014342","13195477","13349642","14010035","14679131","15357746","16061294","16792532","17540854","18329694","19148834","19993854","20855982","21750070","22401775","23055882","23733381","23738918",
"Kyrgyz Republic","KGZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1589059","1641651","1712842","1773413","1856630","1904111","1926236","1939244","1983667","2025162","2058397","2085585","2136666","2174785","2218737","2311548","2381437","2396237","2404556","2411079","2447308","2489034","2496363","2476191","2507775","2545405","2548381","2530554","2526202","2565016","2440848",
"Cambodia","KHM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3944631","4064096","4171216","4278116","4459177","4600503","4743404","4943312","5172985","5422150","5594590","6182973","6353558","6474784","6547314","6765453","6996532","7223829","7457315","7689326","8133016","8375986","8326168","8238536","8401087","8528092","8909178","9049870","9185183","9319219","9163843",
"Kiribati","KIR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19181813","19699503","20088969","20352670","20903512","21397788","21800654","22336448","22026644","22327302","22819686","23201687","23654992","23677189","24165776","24304626","24542632","24794644","24941044","24932116","25273507","25696124","26094698","26415473","27165844","27578100","27823200","28136436","28303251","28541664","28348936",
"Kuwait","KWT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","870516","862324","","","","747959","761990","805829","867686","934546","987253","1017637","1040663","1054132","1082118","1125104","1183553","1258861","1352229","1469656","1592229","1705590","1827785","1957568","2081461","2192963","2265866","2336844","2386269","2428518","2386040",
"Latin America & Caribbean (excluding high income)","LAC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155126309","159246029","164181584","169308485","174033373","178772108","181740258","188095932","192983785","197521723","201644808","206267301","211275994","216160486","222060703","227108021","231841514","235660528","239852350","245301311","247795879","250526629","257338159","260693054","263845795","268557473","272709635","278105771","283472584","289253731","268411179",
"Lao PDR","LAO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1929142","1978574","2029065","2079748","2129378","2180771","2223163","2268568","2315692","2364405","2414132","2469865","2524389","2580268","2640333","2705639","2780686","2858940","2939341","3020625","3101310","3182452","3265353","3347537","3427246","3503719","3577630","3649336","3719770","3793016","3828776",
"Lebanon","LBN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","766634","820664","877392","945413","1013155","1074357","1099514","1125576","1146425","1179222","1223596","1278604","1350220","1428564","1496085","1556549","1597997","1624066","1633407","1657121","1710047","1799653","1912060","2028256","2133652","2221024","2296526","2348425","2387681","2423712","2317840",
"Liberia","LBR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","865217","852796","843178","839456","848547","874706","925459","991666","1072253","1150229","1214643","1258614","1288813","1318323","1344968","1380975","1428638","1485514","1548792","1613132","1674747","1730592","1783843","1835505","1889342","1944683","2049004","2106229","2165330","2226993","2193679",
"Libya","LBY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110018","1151005","1196802","1246067","1296400","1346790","1391649","1436517","1482557","1531801","1585613","1640444","1700448","1763839","1828344","1892694","1949290","2003851","2054224","2101430","2144240","2174527","2198559","2219438","2238978","2260370","2296531","2337204","2380697","2422944","2389259",
"St. Lucia","LCA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54671","56099","57282","58371","59446","60548","61789","63150","64633","66160","67714","69288","71447","73718","76137","78746","81654","84509","87225","89729","91956","94269","96421","98464","100449","102376","104131","105887","108503","108318","104559",
"Latin America & Caribbean","LCN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171041658","175625874","181043189","186619854","191773344","196985389","200418120","207270793","212578804","217454118","221909950","226924586","232204302","237501808","244049704","249695861","255083684","259297625","264022573","269770252","272634059","275853479","282914652","286629457","290085267","294959089","299015684","304279438","309379815","314694254","292097558",
"Least developed countries: UN classification","LDC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196090440","201681143","207471575","213529576","219862212","226491347","232654933","239070068","245791876","252729096","259661055","266902543","274083068","281439243","288932224","296640681","303608527","310563187","317737516","325165640","333048424","340947872","348654027","357052408","365831014","375677154","385801097","398600655","410147465","421024464","418153728",
"Low income","LIC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113153902","116425371","119846672","123376101","127008835","130931333","134438342","138064164","141897404","145989985","150190927","154345352","158733126","163321421","168039955","172866711","177244475","181820785","186649939","191428880","196571362","201624852","206658866","212261480","217900618","224321342","230958354","237825088","245021734","252468654","253033686",
"Liechtenstein","LIE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7353455","7196482","7018068","7157979","7297404","7153162","7277063","7398676","7975715","7861815","7828791","7910071","7989202","8064863","8134560","8198712","8249253","8295378","8336284","8371081","8261381","8271509","8169734","8462300","8412181","8640062","8795093","8926926","8696194","8704381","8552779",
"Lower middle income","LMC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","739709979","757088254","776029626","794298049","816965764","835653313","854903648","874554308","896359172","918081154","940507660","960675474","980714042","1003284866","1027193865","1048731465","1063543259","1082368335","1096861536","1113667762","1130600546","1145102094","1157221240","1172870048","1188341243","1205325625","1221630239","1240996673","1259994887","1283563536","1245533221",
"Low & middle income","LMY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1838361528","1873422165","1913282989","1950671835","1993451455","2030866092","2069675678","2107498203","2144263800","2186508941","2227084794","2259989907","2296797070","2336679397","2379567825","2418004343","2447742153","2481248535","2509367594","2539069674","2565185220","2594611860","2624857532","2654564568","2683331987","2715948246","2745277834","2778464664","2810197040","2844852894","2769231109",
"Lesotho","LSO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","702713","725586","749436","774236","798628","822362","841896","860579","877579","891770","897608","899058","896563","891857","887262","884080","880433","879597","880835","883263","886433","890715","896165","902728","915277","927924","938333","950644","962776","974540","967513",
"Late-demographic dividend","LTE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","966781052","980184399","995269456","1010546472","1024567680","1038760457","1053389375","1066096208","1076466422","1092079118","1106574719","1114400615","1125717331","1137748786","1150331067","1162040553","1171090853","1180490426","1189242522","1197367128","1201527281","1209922958","1219988909","1227360264","1233402778","1239243309","1242349338","1246160715","1248187280","1248369112","1220556973",
"Lithuania","LTU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1779902","1778785","1779408","1783631","1782782","1766697","1747422","1727509","1710203","1712547","1682305","1643848","1628825","1683889","1594160","1553512","1511924","1511458","1512452","1522349","1503719","1495237","1484453","1473060","1481195","1470210","1482426","1469058","1472733","1469927","1465235",
"Luxembourg","LUX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159998","165609","170063","170004","171646","167618","171282","173815","176489","181748","188742","189068","194909","194848","201402","207437","213169","215991","220430","234340","237895","243402","255169","263156","273714","282741","283578","293663","302757","313152","320185",
"Latvia","LVA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1266957","1253675","1250279","1233338","1207502","1188895","1175693","1171971","1147264","1120923","1090054","1090797","1115239","1096818","1098325","1093750","1119719","1135964","1150453","1106548","1063015","1035943","1041140","1020645","1006084","1008427","1006975","1003671","1000161","983777","982531",
"Macao SAR, China","MAC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147058","152063","156985","160476","163974","172377","199368","201985","205483","210287","215686","225544","227501","231079","243988","258009","274859","295073","309294","320760","331690","342541","349827","359099","370803","376713","377729","380033","383791","384360","394521",
"St. Martin (French part)","MAF","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7485057","7671926","7903024","8122591","8278643","8549975","8698683","8955558","9162449","9405637","9633182","9840851","9979827","10269865","10499891","10654363","10781751","10952163","11106215","11315947","11518919","11722318","11761742","11856989","11840044","11815638","11780447","11742460","11914871","12084530","11523035",
