String / string group: ['circular economy']

titles
year;number of occurrences;corresponding docdb family IDs

abstracts
year;number of occurrences;corresponding docdb family IDs
2012;1;{45424723}



String / string group: ['re use', 'reuse', 're using', 'reusing']

titles
year;number of occurrences;corresponding docdb family IDs
2011;86;{43732490, 44655628, 44186663, 44483123, 42340917, 44340281, 44564025, 44053051, 43900475, 44082239, 44149826, 43544132, 44174424, 43497561, 43588196, 44672615, 44751486, 45328000, 44316288, 43910786, 42470531, 44803229, 43533999, 43920052, 44251317, 44586676, 44503743, 44291782, 44291783, 43529419, 45349068, 41572557, 44650206, 43662060, 44114671, 43798777, 43576593, 44304150, 43755819, 44673846, 44991288, 44532031, 44662094, 45371217, 43649362, 44008790, 43909463, 43898712, 44476765, 43528543, 51162980, 44962149, 44992361, 45505394, 44115337, 44148620, 43412878, 44367761, 44541847, 43606936, 43875225, 44277145, 45097881, 44599196, 45869980, 45397920, 44147622, 44560301, 44123054, 42651057, 45097909, 45034942, 43910598, 44711897, 43970532, 44706789, 43844582, 44562918, 44011496, 44483057, 44483058, 44167153, 43633143, 43900408, 43458553, 43633151}
2012;145;{45888004, 45925391, 46784015, 47294483, 46024213, 46580759, 47072284, 46878750, 46083626, 46317611, 46693419, 46797867, 47041583, 45567536, 45401649, 46070320, 47009847, 46587964, 46757948, 47217214, 45463623, 47423049, 47259214, 46380111, 46515792, 45893200, 46005330, 45927512, 47174747, 45722725, 46507109, 47217257, 48089708, 45873776, 47072369, 47747185, 46693491, 46162550, 46580342, 47019640, 46721145, 46025338, 50240123, 45440630, 46084230, 46815370, 45697678, 47009426, 46198422, 46563479, 46985879, 46071965, 46351524, 45924520, 56022189, 44789424, 45818035, 46969019, 47199934, 46622406, 46563537, 47174358, 46579421, 46579423, 45772512, 45876448, 45874404, 45559525, 46793959, 46206698, 46542577, 45401330, 46929650, 44168437, 46830338, 46464772, 45974793, 45437711, 48482063, 46528277, 48142104, 47176478, 46470433, 49515809, 47422756, 47422757, 47356711, 46006057, 46551853, 45422384, 46245173, 46482230, 46902585, 46048067, 46931272, 47292232, 46543701, 46636378, 45438811, 46766428, 46766430, 45529952, 46766432, 45831528, 46717807, 46605168, 44653938, 45873522, 46720371, 46087035, 47402887, 45399946, 45483403, 46331286, 46331291, 46515100, 45723037, 43466655, 62529445, 45723563, 45938093, 46233518, 47041456, 47173557, 45529015, 47260090, 45545915, 46208447, 47259075, 47234515, 46152670, 47349729, 47176674, 46454760, 46672360, 45770218, 47422444, 45526000, 46381041, 46587889, 45724146, 46544890, 46071803, 46926332, 46716927}
2013;97;{49235457, 49758721, 48470019, 49673732, 46640656, 48573977, 47576093, 49245728, 54478370, 48743462, 45218343, 49550374, 49245743, 49714225, 49511986, 49858610, 45558333, 48873534, 47018561, 48721986, 49179204, 48837702, 49463371, 47505996, 45065808, 49473623, 48628316, 47830113, 47629411, 49774704, 47325809, 48535157, 49482871, 47831673, 49327227, 49160320, 47560834, 49258128, 48467602, 49511062, 47996056, 49954971, 48426144, 47520935, 47358132, 48044212, 46826688, 49300675, 46826181, 48605381, 48739526, 48755915, 48654035, 47263450, 49482976, 48424699, 48981767, 48746249, 48520970, 47758095, 48288530, 47506710, 46800167, 49580857, 45952828, 48589120, 47429953, 47827794, 47603544, 48700763, 49326952, 65529196, 47749998, 49547124, 48535419, 46934396, 47628167, 47878024, 47146390, 46614428, 47716256, 48904609, 46785441, 49665960, 48573871, 48188851, 48191924, 47178684, 47594958, 48801232, 48445907, 46981076, 49382867, 47049178, 49581534, 49383394, 46384119}
2014;135;{50883587, 49978884, 51654668, 50749965, 50825744, 51688977, 50389523, 50385940, 51622931, 51261974, 50067489, 51210788, 52576293, 50778150, 50827818, 49913388, 50064430, 49777713, 50341426, 52141120, 50928705, 51866690, 50977866, 51552847, 50027089, 51166807, 51353694, 50627679, 50183263, 49781345, 50529890, 49554531, 51020900, 51262562, 51709544, 50002539, 51934317, 52741741, 49913453, 51622516, 51792504, 50150024, 51866761, 51591818, 51657865, 50454668, 50846861, 50827406, 51729552, 49766034, 49823381, 50262165, 52129435, 51242145, 47323826, 50973875, 50821302, 51418807, 50069692, 50883262, 51791555, 49997510, 50436809, 51999948, 52140750, 49875667, 51728595, 51492055, 50993373, 51867360, 47997665, 49778923, 47189751, 51016441, 50880765, 50149630, 50362633, 51390730, 50884876, 51012877, 51534101, 50908952, 51867932, 52019487, 51624738, 50182947, 51609392, 51427638, 51988280, 50879291, 52676417, 50774853, 50668358, 50025799, 50050888, 49898314, 52104524, 51901263, 49484114, 49165651, 50956628, 51689299, 49878358, 51934041, 51177306, 51210083, 48607080, 51208045, 47178101, 50678146, 47018378, 51787663, 50125201, 51624339, 50183576, 49994659, 50186150, 49713067, 51671981, 49911726, 50933680, 52067249, 51624380, 49967038, 50821576, 51840971, 50086348, 50670542, 50383314, 51261908, 51261916, 50956259, 50276325, 51189738, 50628083}
2015;113;{55075328, 54033421, 52994575, 52624915, 52016148, 52813349, 53477929, 54907948, 54167608, 53799996, 54070844, 52624961, 54454854, 54195783, 51162696, 52622409, 54195785, 54195786, 54538314, 52673618, 54071379, 53401174, 54553174, 53402210, 52995170, 53711460, 54936165, 52743788, 54500977, 54715507, 53250680, 52444281, 53367416, 53870715, 52992131, 54042246, 52994698, 54554764, 54933132, 52632208, 54304914, 54379154, 51266199, 49886884, 52106405, 53402278, 53179563, 52393136, 53041842, 53514422, 52665024, 52470471, 52813014, 52627673, 53151963, 52691170, 54168296, 53458159, 54908154, 52627709, 53185280, 52627718, 53489930, 52292374, 54143772, 53369635, 53695271, 53635884, 53125936, 52741940, 52741943, 52628798, 49998153, 54697805, 52471632, 53671251, 54368596, 54287704, 53777763, 53782884, 52431207, 52688744, 53125992, 54054766, 53456242, 52854132, 54545781, 52739461, 54833030, 52586887, 53905800, 54009223, 54054794, 51494290, 52421014, 53058456, 52627873, 53522853, 52742570, 52280257, 53264836, 54033860, 53264838, 54194119, 53402058, 52336082, 54768089, 54697948, 51033054, 54194152, 53758967, 50156538, 53967359}
2016;123;{56089604, 57199620, 57582092, 55912973, 56984078, 55057424, 56688661, 55651868, 56165412, 55828517, 55828518, 56126501, 56106537, 57218094, 57440304, 55746098, 56621618, 54252085, 55407671, 55792698, 54477888, 57531459, 55263305, 55537233, 52273243, 57072733, 57199203, 57586276, 54477927, 56495727, 57142898, 55531136, 55911042, 56126594, 55752839, 57503375, 56345237, 56614040, 56125593, 53835421, 57320609, 55753378, 57203875, 53496490, 55302826, 56878764, 57222831, 56688833, 56908486, 55882953, 53761237, 57586389, 56354014, 56851166, 56901861, 55181030, 55398630, 52468973, 58060527, 55064822, 56615180, 53059344, 55135504, 56092433, 57112849, 57198361, 51518746, 55591714, 55168297, 57393451, 55761198, 56919344, 55582001, 56086322, 55746871, 56381755, 55064897, 57277761, 55632195, 56121156, 55456581, 57350989, 57006420, 54207829, 55022428, 54849889, 57140065, 56149349, 57004906, 57198442, 55149939, 56904566, 55930747, 56923516, 55399294, 53872007, 56482190, 57377166, 57248145, 54251925, 56624533, 57013666, 55358380, 56095149, 56112044, 55455667, 56091573, 57440185, 53879738, 56165307, 56130493, 56130494, 56387527, 57490888, 57528268, 57376215, 56083944, 56540648, 55655918, 57585134, 56867313, 55406585, 56798719}
2017;143;{56920577, 60578823, 59685392, 59563539, 58410005, 57583641, 58797081, 58422811, 60001315, 57685543, 56235563, 59437109, 59563579, 59409991, 58009679, 59362391, 58693720, 55221340, 58218076, 59630174, 58709608, 59586156, 58922092, 60115572, 60610168, 59569785, 58187396, 58422920, 58487438, 57673368, 60411546, 54545057, 58230948, 59056293, 59434151, 60577960, 58385577, 60411050, 57609383, 59397293, 59676336, 58481331, 59398323, 60788403, 57794230, 58098357, 59021497, 57756859, 60411075, 58323145, 56740556, 58629838, 58385618, 59676375, 58581723, 60788443, 60160222, 59788515, 60678884, 59742953, 59090666, 59624174, 59161328, 60325106, 59397367, 58428157, 57199875, 60494085, 59090695, 59375384, 58056986, 55022364, 58843933, 57614108, 58084641, 58797860, 59494183, 57607465, 59684652, 59907372, 58557232, 60150576, 60677939, 59676469, 58215231, 59437889, 59462472, 58224972, 55808854, 59435351, 58249050, 57681758, 58667872, 57983840, 59159394, 58228070, 59499367, 58945908, 58460022, 58424184, 59330426, 58281856, 59065217, 60081541, 58630536, 59684749, 59497363, 57786773, 58919829, 59685270, 56571291, 57942939, 60040607, 59497887, 60228002, 57652132, 59310505, 56740266, 56889259, 60199341, 57946545, 58010548, 58778040, 57988539, 58561979, 59563456, 59345349, 58385862, 58666443, 59361739, 59258318, 59497935, 59678682, 59940314, 60223963, 58614752, 61010920, 59311593, 57044971, 59312115, 56134644, 55310842, 58487291}
2018;149;{64735744, 61763585, 63169540, 60787719, 61762579, 61683740, 65527837, 62156325, 60785201, 60915254, 61073474, 61573192, 64438351, 62044752, 62840402, 62745174, 62978646, 63155799, 61689948, 61082722, 64351845, 62117990, 61619315, 62558835, 60780153, 61265532, 60543613, 61105288, 64274580, 64455831, 61971101, 60937890, 63143078, 64608934, 62516391, 61163178, 61963951, 60995761, 61243570, 62219954, 62076085, 61994167, 62980287, 62242497, 62152386, 60990665, 62144207, 59997392, 61906129, 64105686, 61002971, 65008862, 62932194, 62559460, 63447780, 63918308, 63434474, 63252721, 62788853, 61660919, 62806270, 61129474, 63861511, 62018826, 63268619, 61414669, 61138705, 63425810, 60892435, 57326357, 61759766, 63370519, 61072152, 62806296, 63675674, 61821724, 62147870, 61728548, 62817060, 61188902, 64397094, 61300008, 61595944, 62094632, 63523627, 60473646, 63809533, 62072628, 62909236, 64454968, 61658429, 62788926, 60409151, 63045954, 63918410, 58057035, 57708367, 61193041, 59656024, 61170534, 63672166, 60268392, 63790960, 60569970, 63238003, 60413300, 61177205, 63672180, 63726966, 60786554, 61688187, 59738492, 62172029, 63375228, 62019456, 64475520, 64456066, 62241158, 62386054, 63193479, 64444812, 63344020, 61653920, 62207409, 63093681, 61073844, 60785077, 64602037, 62893496, 62906809, 58772414, 63844800, 63844290, 63157188, 61056967, 61301703, 62907340, 62121934, 62840277, 60788697, 62740955, 61906398, 62839263, 63689185, 61243363, 59968998, 61562861, 61606903, 63678461}
2019;180;{65225729, 67617793, 65745412, 66542084, 67617284, 67308554, 67109904, 67906576, 65182740, 66817047, 66631704, 65995801, 66448410, 68727833, 65806876, 68781600, 68529700, 67889701, 66100264, 66783784, 62683180, 63915055, 66949682, 68070962, 67920437, 63528501, 66247736, 65014841, 66364991, 66292305, 65991762, 65607252, 67590228, 65900631, 68485722, 66968158, 64893027, 66121828, 65660008, 65897576, 66102380, 67370094, 68464239, 65328242, 65849459, 65817207, 66100345, 68181626, 67961983, 67987071, 68054149, 62631046, 67378313, 68057230, 67844754, 67056275, 66334357, 65910422, 66189983, 62981286, 66630319, 66630320, 66630321, 67218608, 68322484, 67790517, 68170426, 65268930, 66557122, 67846850, 68105415, 65524425, 68616395, 67941580, 64741075, 61283030, 67987671, 65324248, 65902296, 65948886, 68825302, 65911009, 68294888, 65367784, 67317994, 66212590, 65039602, 64901878, 65997047, 67300602, 67219196, 65439999, 67687167, 65464577, 68557570, 68174595, 65462532, 65900810, 65172236, 66150669, 66630414, 61868306, 66431766, 64456987, 65235228, 66820379, 65199390, 62976288, 65224992, 66751268, 65686824, 64925481, 65686825, 65514795, 63041840, 66811191, 65021241, 66819388, 65321286, 68100428, 67067725, 68366157, 64803663, 66251600, 68256096, 65040740, 65040741, 68467560, 68501353, 68860781, 67441523, 64742772, 68784500, 64402297, 66994555, 65722761, 67713932, 64666509, 67078029, 66277773, 65495954, 68617111, 65526172, 68425628, 67618719, 68180897, 68669862, 68207016, 67063210, 66750382, 68129710, 63294384, 65867184, 68698546, 67023284, 65273269, 65903541, 68142520, 65526206, 68547008, 65279426, 68622788, 61003208, 66820043, 68615631, 65903568, 66533336, 68692447, 66111974, 66998247, 67908073, 68983786, 66195949, 66655726, 66120176, 65910256, 65745394, 68062199, 65439737, 67486715}



String / string group: ['recycle', 'recycling']

titles
year;number of occurrences;corresponding docdb family IDs
2000;3;{22861649, 16161498, 26344853}
2002;1;{18840919}
2003;4;{22017978, 19040220, 27678006, 27784855}
2005;1;{34098357}
2006;2;{35355338, 35784005}
2007;4;{39140573, 38068029, 38181782, 38327205}
2008;3;{39314160, 40135812, 39904678}
2009;4;{41684178, 41001602, 40264732, 41429903}
2010;1;{42073930}
2011;11;{44903844, 44067045, 43844582, 44318598, 44903845, 44130762, 43821325, 44071954, 44216691, 44353173, 43900475}
2012;3;{46544890, 46039898, 46930935}
2013;7;{48962850, 49292547, 48817160, 46982666, 48721742, 47677142, 49220086}
2014;6;{50475588, 50278247, 51523499, 50862732, 51299854, 50341842}
2015;9;{49917509, 54701638, 49911687, 53180072, 53620715, 53877584, 54934864, 54016562, 53274068}
2016;18;{55456581, 54066182, 55749831, 55302826, 55302827, 56594090, 51211566, 55264591, 55552304, 55537233, 56872879, 56872403, 56747604, 56879156, 56014710, 57248625, 53487256, 56798719}
2017;6;{59153280, 60324744, 59014700, 58764339, 58340312, 58797913}
2018;17;{61140225, 61129474, 61280450, 62021863, 63674268, 63918410, 64016815, 61256531, 63198164, 63971603, 63096886, 64105012, 63108376, 62955321, 62814875, 63263673, 63916863}
2019;24;{65900298, 68059276, 68515085, 65041299, 68727833, 66189983, 67218345, 65514795, 68856236, 67951023, 66297910, 65655870, 65799375, 61827664, 65948886, 67066843, 68850012, 68769117, 67255008, 68467560, 65352305, 62091762, 68119288, 60673915}

abstracts
year;number of occurrences;corresponding docdb family IDs
2000;4;{22861649, 19615154, 26344853, 26446706}
2001;4;{11735603, 9552499, 8850845, 18598455}
2002;4;{19016313, 25360498, 11133546, 18957479}
2003;6;{19067553, 27656339, 19189204, 27784855, 4676280, 19040220}
2004;3;{29723761, 32896595, 33436425}
2005;2;{34736282, 34098357}
2006;4;{35462256, 35355338, 36601995, 35784005}
2007;8;{38841538, 38284900, 38071653, 37864742, 38684464, 38667894, 38181782, 39140573}
2008;4;{39314160, 39807817, 40083865, 39725451}
2009;6;{41001602, 41314980, 41214824, 41429903, 41684178, 40341244}
2010;5;{52727522, 42073930, 42153676, 43222157, 41529741}
2011;26;{44318598, 44800522, 43821325, 44815246, 44071954, 44367252, 44353173, 44277145, 41786398, 44903844, 44903845, 45097909, 43900475, 44267196, 44959680, 44359749, 44130762, 45371217, 44598614, 44174936, 41736033, 43844582, 44125671, 41786347, 44216691, 44482943}
2012;19;{47050753, 45380621, 46198422, 47265568, 43743532, 45446064, 47423166, 46815806, 46815306, 45424723, 47234515, 46894425, 46039898, 47217245, 47217248, 46797667, 45961076, 45440630, 46930935}
2013;22;{48817153, 49292547, 49368582, 48817160, 46982666, 49564564, 47506710, 48573977, 47831455, 47501216, 49245743, 49858610, 46829879, 48721742, 47677142, 48904918, 48696166, 48698865, 49688179, 49551221, 49220086, 48465783}
2014;13;{52229283, 50475588, 51620133, 49920681, 51657865, 51523499, 50862732, 49956041, 51132526, 51299854, 50341842, 50252248, 51769819}
2015;20;{54907908, 49911687, 53866763, 55080718, 53681554, 53180072, 53813679, 53125936, 53402929, 54016562, 53877584, 54934864, 53274068, 53092698, 52431974, 52142952, 53620715, 53620716, 53369590, 54766206}
2016;32;{55753606, 53487256, 55651868, 58069789, 55549859, 56614436, 56594090, 55302827, 55302826, 51211566, 56872879, 55552304, 56996143, 56879156, 55749825, 57048641, 55263171, 55455684, 55456581, 57584324, 55749831, 55264591, 55537233, 56872403, 56747604, 55831510, 57087833, 56939879, 56284148, 56014710, 57503228, 56798719}
