String / string group: ['wind', 'wind power', 'wind turbine']

titles
year;number of occurrences;corresponding docdb family IDs
2014;220;{48748032, 51654665, 47278092, 50771980, 49209358, 51261965, 51567628, 50685457, 51152914, 52004881, 51491348, 50100250, 48170523, 49783326, 50484767, 47989280, 50542110, 50879011, 51354664, 51869737, 51727405, 50956335, 46889011, 52141623, 50803770, 50288187, 48698942, 51262014, 51262015, 50736196, 50388551, 50879048, 51494986, 50383436, 50824783, 51622993, 49765972, 51262548, 51387482, 51569754, 59270755, 50627685, 51502695, 50683500, 50627181, 51639928, 50628218, 51299451, 51623035, 51262589, 51262079, 51567745, 49989762, 48521347, 50544268, 50238093, 49766034, 51350674, 51297432, 50097821, 48485024, 48875682, 50278054, 48875687, 49946791, 49485481, 50483366, 50477227, 51504297, 49946803, 51127480, 51165369, 50906300, 50490557, 50490558, 51064511, 49883840, 51012290, 51999949, 50803409, 51740882, 51486931, 48877270, 51486935, 48877272, 51864280, 51223259, 50272477, 50320095, 50067680, 52141282, 48877287, 49839850, 49918187, 50319086, 50478831, 50655985, 50488053, 50889462, 50027768, 52007672, 50572026, 51657978, 51883263, 51579138, 51491587, 50150661, 49989894, 47429895, 50284805, 50626822, 50626823, 51021574, 51731207, 50708237, 51752198, 50214159, 50069776, 50476816, 50730768, 47080213, 50844949, 50231064, 50183961, 50189594, 50928928, 51988256, 49783085, 50112302, 49782575, 49782576, 51609389, 50728243, 49995572, 50320693, 51517236, 49783096, 50067769, 49301307, 50341182, 50956612, 49000773, 50485575, 50147656, 51147081, 51261773, 48325459, 50956628, 51609427, 50339159, 50183513, 50289500, 50186592, 51369824, 51369825, 50477929, 50680682, 52022121, 51310963, 51788659, 49948542, 50270079, 47178114, 50730884, 49955208, 51227021, 51225486, 50050959, 50050960, 52001168, 51988370, 50979733, 50605975, 50183064, 50626979, 49753508, 47520677, 49945510, 50022310, 49783208, 51599796, 50546104, 50684345, 50028986, 51623356, 50956736, 50731461, 50301895, 51933130, 56689613, 49274830, 51987921, 51831250, 48808404, 49782740, 49080790, 50066391, 50066392, 51277785, 50066394, 50066395, 50066396, 50434524, 51552734, 49231327, 50066399, 49680866, 51166690, 50274788, 51226085, 50344422, 50344424, 50934249, 50071530, 51362793, 50159596, 51420652, 49882103, 50884088, 47714301}
2015;223;{52625920, 54699014, 52393991, 52742663, 53401098, 54830604, 53402637, 53174805, 55652885, 53043227, 54265883, 51492384, 54167587, 54287395, 54239270, 51659816, 53179946, 50289707, 53185580, 54265901, 52695607, 52346936, 53479479, 52339258, 51205179, 53777464, 52257856, 52781120, 52994626, 53798978, 50289732, 54936129, 54168136, 54149708, 53681230, 52781648, 51626065, 52781649, 51660372, 53179988, 53950038, 54549078, 53175384, 54549079, 49725018, 54700117, 49582693, 52668006, 52738151, 53648486, 52993132, 53495924, 54167668, 54322806, 54167672, 53174906, 53878396, 51211905, 52393091, 52742788, 53757067, 54306443, 52449934, 51982481, 52874898, 54194321, 51688087, 52021400, 54261912, 54431897, 52461212, 52630172, 52461214, 53543582, 54666910, 54008481, 53056674, 54342820, 52427947, 53443249, 52738232, 52738233, 53680833, 50289858, 55130305, 53179076, 54553798, 52470471, 51862216, 54553799, 54195402, 53182157, 52143318, 52813014, 52143320, 50396889, 51357913, 52143322, 52392155, 53395159, 54326495, 53913826, 54326498, 53481188, 51483365, 54554339, 51743470, 51753198, 51392240, 52279541, 50639607, 53913847, 54061818, 50829051, 51947260, 52146429, 52460799, 53023999, 53878529, 52743938, 51260677, 53679878, 52829962, 50280204, 52742413, 52346129, 54013202, 50976534, 54553879, 52663577, 54702897, 54766900, 52992311, 53731642, 54698299, 52627772, 53040445, 53199677, 54698300, 53443395, 54054728, 53516620, 52992850, 53217112, 53950296, 53057370, 51542363, 52784992, 52666210, 52142952, 51392361, 53173608, 51300716, 53546860, 53187444, 53415797, 54009716, 52134264, 52673401, 52484474, 52673404, 52529534, 52736894, 54363012, 52739462, 52891527, 54839688, 53765513, 53493643, 53045644, 54555531, 52810638, 51609999, 53482895, 53680014, 54834576, 52586388, 51133848, 55084956, 51730334, 54834079, 53482913, 54500773, 53881766, 53488551, 55131127, 52827580, 50588605, 51298749, 53877695, 54194626, 54194627, 49326532, 54194628, 51485638, 54609349, 54055368, 54338508, 52672973, 54287309, 52672975, 51492304, 53475279, 54833104, 52688339, 54142934, 52430807, 52444119, 52114905, 54323670, 54357979, 53057506, 54554597, 49955303, 53677032, 51987437, 51136496, 53388275, 52672500, 53797366, 54146551, 52625916, 51212797}
2016;224;{57006081, 54150659, 57204227, 55217162, 57584651, 54105614, 56984078, 56590352, 56974353, 56563730, 56563731, 55742484, 52023317, 56974359, 55652888, 55064091, 53716508, 57204259, 55532588, 56355372, 57503279, 55359024, 55970866, 56026674, 52774454, 55908919, 55908920, 55075386, 55042107, 57217599, 56171072, 57199169, 55792706, 56564803, 55580740, 54151237, 55263302, 56409670, 59798084, 56434249, 57250889, 55696972, 56368206, 55793232, 56434260, 55162453, 55235157, 56165462, 56507994, 55853660, 55853662, 54545503, 56851038, 56907875, 55079013, 57585256, 51987050, 57114734, 55954545, 57393782, 57539704, 57157241, 56013434, 54849660, 56688765, 54064262, 57043591, 57287816, 56364683, 54867085, 56850063, 55857809, 56097939, 54850196, 51982486, 54477974, 56171671, 55180953, 55180954, 56124569, 56255642, 57198235, 55070878, 55913630, 55221408, 55302822, 56215718, 56244396, 56364718, 55580336, 57191603, 57392311, 57222840, 54697658, 57537211, 56357053, 56244415, 55261890, 56178374, 56891590, 55656136, 57298119, 57133770, 57851594, 56358093, 56013518, 55304401, 55974097, 52345045, 55302871, 57393879, 54014682, 55072474, 54364384, 56542944, 57584358, 57545961, 55445226, 56614124, 55436526, 57143026, 56116982, 57143034, 56554747, 57392893, 56286974, 57073409, 57392387, 56324361, 57588492, 55581454, 56150287, 55229713, 56918801, 55676693, 55954200, 55954201, 56091416, 56416542, 56287007, 55436065, 55722273, 55758625, 55886625, 55261478, 53541671, 56149800, 57546023, 56615210, 56149803, 55910188, 53879597, 56149804, 56218925, 55568178, 55266105, 55989561, 57004863, 56091457, 56091458, 56104258, 57602882, 57601528, 55627595, 57602893, 53483854, 53758286, 53776721, 54105949, 56567136, 55471459, 55162724, 55583592, 53673321, 55583593, 55853419, 55349105, 57197941, 55311223, 56127863, 55349115, 55960956, 53886848, 51894148, 55914373, 56781701, 53059464, 53682571, 56358283, 56853389, 53404558, 55962511, 53540752, 57680779, 55062423, 55542683, 56879517, 55524258, 56013730, 56093605, 57274790, 55629736, 55018414, 57017775, 54783408, 57399225, 57399230, 56497090, 54011844, 55917509, 57077188, 56979911, 57358846, 54780361, 57503697, 55559125, 57004510, 56047594, 56937452, 55503853, 56087538, 55590392, 55216637, 57199614}
2017;232;{58051074, 57233412, 59763718, 60661258, 58190347, 60202508, 60661265, 59064339, 59217940, 58386970, 59398170, 58051100, 60783643, 57685023, 59965984, 58508836, 58100262, 59788841, 58557485, 59021359, 57990194, 57985076, 58096181, 59962932, 60326966, 59813432, 60096568, 58261562, 57482300, 59962942, 58635328, 56092737, 58260036, 58797124, 59814471, 60305480, 59297356, 58843726, 58160719, 58637906, 58054739, 59523669, 58917463, 58838107, 58606172, 59961949, 55182431, 60115552, 60783203, 57898084, 59088485, 57544296, 58099304, 58763371, 60158572, 59315312, 60578929, 61229170, 58360444, 59273340, 56404097, 58187396, 57209477, 57685637, 58728072, 57542793, 59362442, 59522184, 59563658, 60482187, 59901072, 59071121, 56194194, 55527572, 59273877, 58966167, 59630232, 56134298, 60411546, 57983132, 59224732, 54937246, 59713701, 59856040, 58335913, 59981995, 58283187, 58559156, 55072953, 56943290, 60305595, 58096829, 58288829, 58559165, 57757889, 58193604, 59885775, 56567504, 60478160, 56683730, 59387093, 59055611, 59123416, 59387096, 59885786, 59222747, 54707932, 60171482, 60664030, 59295970, 56132838, 58288873, 60478185, 59898605, 57884400, 59900150, 58051320, 58289402, 60784381, 59626238, 60327679, 59561731, 62791429, 57864968, 60661516, 58186517, 56555802, 58800410, 58994462, 57047327, 58667296, 57821992, 59619113, 59855145, 58799915, 60661035, 59744045, 57517873, 59566897, 56096563, 59500851, 60661559, 57838395, 58771772, 57833789, 59064126, 59964222, 58870080, 59500866, 58456391, 58796874, 59361611, 57874254, 59310929, 56194388, 58454868, 59960152, 59895643, 59901286, 59362152, 57865065, 59673968, 57840498, 59559796, 59308919, 58424184, 57637753, 59066744, 57909627, 56027003, 57685887, 58695553, 58409865, 58487178, 58422667, 57795981, 59500432, 59683216, 59961232, 59899287, 58189722, 60664730, 60044189, 58663843, 57652132, 56855461, 59066789, 60479399, 60661157, 60190634, 58240428, 58667956, 58718645, 55446969, 60160953, 59961275, 58462653, 58796992, 57834945, 59787204, 58992581, 58385863, 56855496, 58284488, 60478408, 60580296, 58385868, 56740302, 59398094, 60660687, 58385881, 59506143, 53886944, 57727968, 59716576, 59964386, 56940007, 57836520, 57890792, 60326392, 56940011, 59357677, 58329582, 60244465, 59822578, 58557942, 58296311, 59959288, 59511801, 58773498, 58385915, 58098175}
2018;275;{61827584, 61943810, 64287750, 62600199, 60785680, 61065745, 62491154, 63714320, 63040532, 64017938, 62556694, 63238680, 61685785, 57909786, 62979099, 63675928, 58228255, 62076962, 62109219, 62557221, 61994023, 62558762, 63267884, 63448109, 62707246, 63522348, 61759024, 63854128, 64149036, 63523896, 62092345, 62715962, 62092347, 63252540, 64096825, 62146623, 59506240, 61758528, 58488898, 63892034, 61800517, 62195270, 63107147, 61521484, 63915595, 61970512, 63520337, 61405780, 64520794, 64300635, 63253086, 63259230, 62598253, 64300655, 59745904, 63854709, 59829369, 64564346, 62115964, 61683837, 64865917, 60143744, 62075521, 62619776, 61849731, 61354116, 61849732, 64454787, 62585991, 62075528, 61620875, 61162126, 63039631, 60452496, 62489745, 61691538, 63587982, 64332948, 63719062, 61768345, 61866140, 59569314, 64095907, 60009636, 59070629, 61083302, 64699044, 59383464, 61505193, 62636712, 60997292, 60990125, 62843052, 60857007, 62789296, 60995761, 61612209, 63675054, 63522996, 63677106, 62024886, 64565934, 61130425, 61243577, 61245114, 61616828, 64395452, 62716617, 61243594, 63582924, 64011471, 62108370, 63254226, 62148312, 63669976, 63672024, 62715614, 61759713, 63003875, 61161701, 61688551, 63012584, 59297005, 61628657, 62636785, 59684088, 63670010, 59521276, 62046976, 63582977, 61203715, 64017155, 62242565, 62806277, 63743752, 62018826, 57714443, 62806284, 63253771, 63586062, 64456463, 60413201, 63448850, 61562131, 59772696, 62909209, 63502619, 63862555, 62563102, 56896287, 61447456, 62710568, 59676969, 61301034, 61562667, 64373036, 62194989, 61301039, 62185264, 62241583, 62353711, 62490929, 63893303, 62979384, 63685434, 63253308, 62195517, 58016574, 60153150, 60153151, 63370049, 63670079, 61072195, 60952900, 64737598, 61764935, 62748999, 62906701, 63715149, 57539408, 57610065, 62490960, 62627664, 59656020, 61245269, 63518033, 62134103, 61157208, 64628561, 62169946, 60813660, 62627166, 60993889, 62020965, 61904747, 62135659, 62890860, 61589359, 63876463, 63857010, 61683577, 62012284, 61036417, 62566275, 62778756, 65034629, 62782856, 63105416, 63523720, 61731723, 64789386, 62002062, 62780302, 63204241, 56883603, 62492052, 63040403, 63372182, 63678867, 64434068, 59811225, 64029081, 64656278, 61865889, 64560545, 57345956, 56855460, 60294052, 60673959, 61974436, 62019494, 60912042, 62494628, 59313068, 62367148, 62494636, 62494639, 62716846, 63169961, 63355310, 64332716, 64455091, 64460206, 65009074, 62893496, 63841721, 58715066, 61054394, 62626748, 61048765, 63046082, 61091267, 59297220, 63669188, 63675843, 63844290, 62685131, 61162456, 62144987, 63534047, 57614308, 60972517, 61017574, 62025198, 62002159, 63917550, 64013297, 61559794, 63711218, 61017588, 64392176, 64541685, 62191098, 63217147, 63678461}
2019;281;{68921344, 66049027, 65745412, 68770820, 60661768, 65041421, 67549202, 68054041, 68727833, 68002333, 65443871, 66630178, 66751523, 65494052, 66949667, 67480614, 64950823, 62200360, 67493415, 68060195, 68099106, 68205604, 61832238, 65868334, 67549232, 66601523, 67846198, 68207159, 64316472, 68728378, 63047228, 67618876, 66200134, 66137672, 61952585, 62148169, 65843278, 68436046, 66092112, 64559697, 63794258, 66167378, 66912848, 67813972, 66996310, 64650328, 64741465, 65550936, 68280920, 67477598, 68539998, 63047264, 66674786, 67324514, 68315235, 61526630, 66912870, 66092137, 68220521, 66335341, 65959534, 61569136, 59485297, 64316528, 66664049, 64738422, 65019512, 68489850, 60811900, 68286589, 68920957, 66352256, 68983425, 68461698, 60515460, 65275525, 66333323, 67846797, 68057229, 65995407, 65015952, 64500369, 62814866, 66102927, 67494036, 65243285, 61148310, 66334357, 67713688, 67767953, 68698776, 68539040, 67793059, 67237030, 67394215, 68061862, 68294310, 67805354, 63963312, 66101425, 67907760, 64745139, 68322484, 66100918, 65633463, 66744502, 68576441, 67715770, 68724919, 68889789, 66105023, 66557122, 68100802, 68419266, 63685839, 65518289, 64952018, 65898705, 67298006, 66334424, 65138394, 61581535, 66324192, 68100319, 63014628, 68770537, 66212590, 66633454, 66243313, 66749169, 67394803, 68053235, 66952957, 67985661, 65278207, 65721599, 63557378, 68419330, 67023620, 62814984, 68241162, 66696460, 67063055, 65015059, 65517335, 65321753, 66217754, 66110235, 65910044, 66217757, 61581598, 65995039, 66332444, 65439010, 66380066, 67302179, 64925481, 68366121, 68015917, 66246446, 67846447, 68968750, 68693299, 65633078, 65013560, 65021241, 60119866, 66539832, 67479867, 64331581, 66372416, 66137923, 63862086, 68632903, 59895112, 67479880, 67038027, 67846987, 68366157, 68744017, 65666898, 65232723, 65900884, 67325780, 68219735, 65364313, 65631580, 67548508, 68325727, 65635680, 64741730, 66091874, 63833956, 66951523, 66537831, 64332136, 65024873, 65514858, 60382059, 65611116, 65514861, 67988328, 67874159, 68055400, 62167410, 65900914, 67438453, 68105077, 67159927, 67949945, 66217852, 68838781, 65635198, 63404927, 66857855, 68055423, 68057986, 60627843, 67619204, 68533125, 68659582, 65040263, 68293511, 67187081, 65955212, 64806285, 67078029, 68969871, 68163473, 59522964, 63787924, 65352086, 66630039, 67635611, 67686814, 65525152, 59923361, 66930081, 65156515, 66374563, 66212261, 67394978, 68061094, 68253601, 64665001, 68082603, 65628591, 65628592, 66632111, 65655736, 63209402, 65041338, 63442364, 66676155, 66173887, 68100034, 68982728, 67466697, 67219404, 67323853, 65871310, 67617233, 66496467, 66245596, 67768803, 68362896, 68326374, 66749928, 65433578, 65009643, 65038315, 66001387, 66438122, 68061677, 64017392, 67495921, 67768817, 67214323, 67617268, 67908084, 68061680}



String / string group: ['solar', 'solar power', 'photovoltaic ']

titles
year;number of occurrences;corresponding docdb family IDs
2000;10;{19550017, 7882882, 13713957, 14893225, 49120780, 7872141, 9531821, 22381691, 9901692, 9531901}
2001;9;{8239200, 27529121, 24208455, 7639506, 18607478, 50441017, 7639643, 8849369, 26591135}
2002;16;{7647744, 4167905, 9933062, 11455974, 19719687, 19772808, 25250953, 18708459, 45827597, 18865552, 19007187, 8499636, 18834261, 26595895, 7674489, 18781883}
2003;9;{7697762, 8180615, 31500072, 26213160, 25533712, 19091378, 7709205, 26621275, 27654463}
2004;14;{32798055, 32906056, 32843756, 33422093, 32921550, 33396588, 33410609, 33490642, 34288122, 32985684, 33436727, 32321946, 33551644, 30469022}
2005;17;{35197315, 34794372, 35320516, 35478534, 35320509, 34567240, 36968331, 34676878, 34062159, 35170162, 37190772, 34683061, 34633142, 34931764, 36501496, 34485789, 35095102}
2006;21;{35907589, 36594190, 36938135, 35783447, 37133980, 36777116, 35995554, 36838691, 37447738, 49539776, 37440071, 36315088, 35500883, 36090837, 37295191, 50241629, 37053149, 37426275, 37510254, 35588603, 35478270}
2007;31;{38503809, 38088578, 37429260, 38045200, 39203478, 38284061, 39203361, 37669033, 38957227, 37636524, 49584956, 38563139, 38544196, 38582213, 49584974, 38070863, 38751695, 38509657, 38455517, 38255966, 37984226, 49328741, 49274347, 38071660, 37668466, 38834291, 38667891, 36992631, 38563064, 38042491, 39325308}
2008;37;{39545088, 39705217, 39186437, 39582214, 39800719, 38981647, 39740434, 37698067, 39517975, 39316763, 39200799, 41201059, 38710567, 40107431, 55754025, 40151595, 39715629, 40070062, 40026294, 39886137, 39438145, 39792200, 40128331, 39032786, 40153941, 39808729, 38596825, 38845148, 38617322, 39509995, 39825903, 39107570, 39541747, 53498738, 39831291, 40192636, 39811454}
2009;68;{41065733, 41398413, 39998990, 40751634, 39767188, 54063255, 40671384, 38859031, 42199327, 41364128, 40227873, 41017122, 40435872, 41200552, 40314796, 40342062, 40342063, 40435760, 41254702, 39580083, 40385204, 39790004, 40219958, 39627704, 40758841, 40641210, 41400123, 49584953, 39148606, 40880831, 41200576, 41318337, 40620611, 40787781, 41137989, 50198857, 40974410, 39271246, 40732239, 41159375, 40511441, 41117010, 40546132, 40622549, 41377237, 40260824, 40470361, 39708637, 41213790, 41020895, 41135967, 64900446, 40341982, 41315558, 41214823, 41398776, 40259178, 42740331, 41399658, 40580845, 41360880, 40469618, 40345844, 40433780, 40453751, 40299384, 40549498, 40406395}
2010;87;{43219460, 42263051, 42316811, 42353165, 41606670, 42486811, 42562089, 42058282, 42218027, 42225199, 41506865, 42744369, 42152499, 43512891, 43067966, 42230337, 43104336, 41263702, 41795676, 41665128, 42509422, 42152565, 41668725, 42312316, 41009788, 42091135, 42239104, 43067520, 41203857, 41503891, 43219603, 42106517, 42730139, 41570465, 42371237, 41466539, 40613035, 42169005, 43032761, 42272445, 43264189, 41653441, 44368067, 43019980, 41360080, 41056979, 41226459, 42980063, 41610976, 42165992, 42407662, 42429168, 42634480, 43309300, 44258041, 42608384, 42555670, 41110807, 42559256, 42545440, 42813240, 42335045, 43357014, 42152794, 42690424, 42338170, 40278908, 42107276, 41226125, 42629517, 40852379, 43300775, 40637865, 41724331, 54300082, 40627640, 40809922, 41506756, 41198537, 42229720, 41720797, 41575907, 41693156, 41804771, 41550823, 41695735, 42035199}
2011;125;{43618816, 44268546, 43840020, 41607704, 44834842, 42315806, 44625955, 44049445, 44186661, 44224047, 44186674, 45066806, 43602489, 41466945, 44307016, 44649547, 44319312, 43466833, 42735698, 41381973, 45097562, 44065886, 43464804, 44786290, 44142196, 42103925, 45003898, 44070522, 43876479, 46417537, 43924099, 45053065, 43999883, 44901517, 43426959, 44925071, 44353174, 43526296, 45096093, 43740833, 44582050, 44263075, 43770545, 44586676, 44186293, 44650169, 43735745, 45372097, 44081364, 44368084, 44175065, 43608286, 43426530, 43742442, 42358506, 43603694, 43941104, 44340977, 44904183, 43014392, 45443833, 44475128, 46421248, 43547393, 43244802, 43587843, 43733776, 43383568, 43605271, 43217177, 43391775, 44355879, 44129577, 43900208, 41728311, 44071737, 43826492, 44050239, 44464959, 44150091, 44490573, 42124623, 43428688, 43244889, 43938652, 44000604, 44563301, 44216684, 43778928, 44654960, 43569523, 44509562, 43878782, 44563327, 43765641, 44483977, 44957578, 44815247, 44815248, 44860818, 44306840, 43454875, 42232736, 44010914, 44954023, 42046375, 44304811, 43991468, 47176107, 42668462, 43854263, 44369852, 43799492, 43454405, 44462030, 44263901, 43463648, 42974693, 43627497, 44581865, 44974061, 42211821, 43999735, 44645880, 43799034}
2012;102;{43739143, 45695512, 45470239, 46354463, 45999649, 45526051, 45526569, 46022187, 46815791, 44534835, 45558849, 46063170, 47048258, 46063172, 46125122, 46380109, 47324754, 46047324, 45993566, 46380639, 46457444, 45788774, 46752875, 45939830, 46351500, 46932113, 46935697, 46564006, 46923432, 43639979, 46507698, 46261940, 46463669, 47720119, 46162105, 45656762, 46830266, 46161599, 44674240, 46634693, 47292614, 46455496, 44653263, 46315729, 45375188, 46051553, 55268578, 47067370, 47225073, 46966009, 46464761, 45525756, 45390078, 45372159, 46887175, 48000266, 48142104, 46199578, 45524253, 46581023, 46965538, 43807025, 46321461, 46880057, 46528317, 46602050, 45466436, 45493071, 45772111, 45891929, 45559643, 46961500, 46171493, 47167849, 46827886, 46605178, 46172543, 46460291, 44906381, 46331286, 45869976, 47218081, 45927333, 46233511, 46993845, 45593539, 46351820, 45515735, 44675550, 47137248, 45928929, 46454759, 46454760, 45558762, 45855722, 45350380, 44119534, 46126063, 44119535, 46454766, 46968821, 44246522}
2013;71;{48470017, 48535297, 49033347, 49858692, 46724229, 49113481, 52462079, 45464331, 47742605, 50036754, 47914388, 47994133, 47739414, 49113497, 47296922, 48141338, 46582941, 49211167, 45607075, 47628835, 48141224, 49773866, 49714225, 49324467, 48801588, 49514423, 48697146, 49623482, 48171709, 48941631, 48143040, 48105667, 48819270, 47882951, 48819271, 49160774, 49383626, 49514440, 48044486, 48192710, 49221706, 47355728, 49291729, 44862804, 47631958, 49044185, 48830428, 49993183, 46085344, 48140384, 48222306, 47899364, 48985188, 49211110, 48739943, 49211111, 49799788, 47742702, 48636526, 48802032, 47080433, 49738992, 49002228, 48326133, 47991926, 47880055, 48534645, 46754938, 48963068, 47601277, 47992447}
2014;69;{50981513, 51538320, 49724561, 50156819, 51228051, 50733080, 49917722, 50882807, 51524381, 50149790, 51843230, 48485024, 52104993, 49898275, 52576293, 49778471, 49667623, 51349674, 50828459, 50930603, 51524653, 48916095, 51261872, 50147377, 52104242, 50514868, 50485173, 51840950, 50977847, 48613819, 51980732, 49759294, 51731137, 48537796, 51759561, 49896654, 50930126, 50973904, 51192015, 50484690, 51536723, 51262292, 51831250, 49382610, 51486935, 51911504, 51210073, 50184666, 51609563, 47323868, 51135069, 48577502, 50737505, 50678243, 49830500, 51625573, 50627686, 51658340, 51897959, 50679139, 51946860, 48485358, 51579503, 52104564, 49994229, 50335223, 47603579, 50067325, 52248575}
2015;75;{51871105, 52580098, 53393412, 52740357, 53523462, 52347144, 53480841, 54055818, 52819980, 53494156, 53755534, 54911372, 51301265, 52483346, 53040402, 52587284, 54392726, 53043223, 53883158, 52663577, 51392155, 53043227, 52585757, 52689054, 54500773, 52474535, 53401768, 53775784, 51292967, 51292968, 50683439, 52809136, 52462383, 52002999, 54258871, 53057465, 54210235, 52627772, 53757756, 52993468, 52257856, 54165698, 48856516, 54609349, 52597318, 52876230, 52935881, 49918538, 54454089, 51429193, 53058123, 51844559, 54580944, 52336082, 52994648, 52994649, 53950554, 52596825, 52936032, 54911334, 54910056, 50137577, 52779114, 53180779, 52446954, 53968493, 54367599, 53458159, 52016114, 54145395, 51842548, 52778872, 53442682, 54836987, 53042174}
2016;60;{56410627, 57302531, 54066182, 56127494, 57004170, 56434187, 56196748, 56878585, 55072527, 52001040, 55652626, 55953682, 57083411, 57504019, 54105875, 55853596, 55833117, 55886623, 51266208, 56164769, 55886879, 55077924, 54251434, 56285098, 55202476, 58067123, 54291381, 54544952, 51730361, 55315770, 54697658, 57585467, 56433855, 55851712, 54291137, 55085634, 55971011, 56849732, 57007426, 56904392, 53385544, 57851594, 56285003, 52824532, 56919382, 54066011, 56021086, 56024417, 56744418, 57290082, 55773670, 56540648, 55753450, 56895217, 55085682, 55217656, 54197113, 57127291, 55645692, 57585406}
2017;72;{60324608, 61014272, 56990980, 59499908, 59927941, 57206407, 57956233, 56363660, 59295628, 58303118, 59742734, 56133008, 60707087, 58462353, 57943827, 58725140, 59396884, 59499391, 59899287, 60719647, 59678240, 54252069, 57984427, 60117037, 59885102, 59412528, 57990194, 59273522, 58240308, 59641522, 58669690, 60096568, 59359161, 58399290, 59562939, 59685179, 59751482, 60231738, 60245436, 59421376, 60305595, 60478656, 60267461, 60479047, 57960904, 58843726, 59851854, 57686094, 58448465, 59624914, 58692177, 59713489, 58418518, 57184857, 60784730, 54707932, 60160733, 57756638, 57883105, 58051554, 60573285, 59274473, 57883065, 57725164, 57684722, 59254644, 59559796, 58422778, 59193083, 58050813, 59790846, 58098175}
2018;88;{63521794, 61685763, 64104455, 61521427, 61874712, 63038005, 63711288, 61758531, 62799429, 62558280, 62490705, 63105106, 61561431, 62017623, 63253100, 62598253, 56896622, 64300655, 61301372, 61018755, 63257227, 59055244, 62063769, 62660254, 61619871, 60787363, 61195941, 60953774, 61690030, 63357615, 62626487, 64395452, 62808258, 60992709, 63711949, 60654799, 61621460, 61763289, 60138203, 60083939, 63455975, 63642856, 62562027, 63633646, 63780092, 60890365, 63371013, 61270794, 62159114, 63712040, 62979375, 62072628, 64454968, 60119876, 63009092, 62528837, 62906701, 64012621, 65520983, 64444761, 61698908, 60409183, 61175649, 63278442, 59677040, 64761202, 62202746, 60543359, 62782856, 64869259, 64491406, 62669715, 62196628, 62453144, 62707103, 68465569, 62091684, 57965990, 63271849, 60950985, 61620692, 63656920, 62012378, 63106531, 63355876, 63405045, 57286650, 63678461}
2019;74;{68671360, 68843394, 65722243, 61556998, 68293638, 65361672, 67791759, 64661777, 61168019, 67540243, 63174037, 64902937, 65910044, 67479836, 67159968, 64362401, 65192866, 62837795, 68698660, 62143265, 67906981, 64740775, 67618175, 68585260, 65027887, 67549232, 68053940, 65811382, 66335670, 68653626, 67302076, 65952064, 65040962, 63833922, 68100034, 65365189, 66950725, 67479110, 64950216, 68292677, 66673226, 61802057, 64999244, 67634128, 62223057, 64402129, 65634515, 64362452, 66244435, 65525334, 65429719, 68384088, 63878493, 63686110, 68325727, 68614110, 68616541, 60293725, 64893027, 66247524, 68055521, 66242791, 65660008, 67394280, 65722602, 61226346, 65527148, 67754604, 68698221, 64975597, 63637753, 68164860, 68769219, 60765695}

abstracts
year;number of occurrences;corresponding docdb family IDs
2000;19;{7882882, 9529354, 49120780, 7872141, 27278742, 23328926, 15657506, 13713957, 14893225, 9531821, 26555190, 19550017, 7895932, 16584908, 7912286, 17670903, 9901692, 9531901, 23423742}
2001;15;{8239200, 47998560, 27529121, 18443395, 24852804, 19769515, 17402833, 7639506, 25681042, 7912916, 18607478, 50441017, 7639643, 8849369, 26591135}
2002;22;{7647744, 9933062, 19719687, 19772808, 25250953, 45827597, 18781710, 18865552, 8499636, 26595895, 18781883, 25392579, 19007187, 18834261, 4167905, 11455974, 18708459, 7671789, 26935420, 18925810, 7674489, 18991484}
2003;19;{8180615, 27625993, 25533712, 7709205, 29732631, 27606184, 31500072, 26213160, 19091378, 19183538, 29705783, 8866746, 29416765, 29399103, 27654463, 7711045, 26621275, 7697762, 8180840}
2004;26;{32011906, 31499797, 32501270, 32321946, 33551644, 30469022, 32990463, 33410609, 33436727, 35503417, 32040385, 35612481, 34351429, 32906056, 32171469, 32921550, 32842834, 33490642, 33549405, 32712930, 32798055, 32843756, 33396588, 31992180, 34288122, 34420479}
2005;33;{35197315, 34794372, 35478534, 36968331, 34806412, 34676878, 34312468, 34485789, 34374447, 33566769, 34593970, 34931764, 34396213, 34633142, 34671798, 34683061, 35320509, 35095102, 34425408, 36406336, 35320516, 34420167, 34567240, 34062159, 34269533, 35308262, 37115879, 34897640, 34119402, 35170162, 37190772, 36501496, 34137982}
2006;33;{36565508, 35907589, 36594190, 36938135, 35783447, 37495191, 36777116, 37133980, 35906977, 35995554, 36838691, 36100770, 36927532, 39364784, 36740020, 37114935, 36616888, 37447738, 37114688, 49539776, 37440071, 36315088, 35500883, 36090837, 37295191, 37053149, 50241629, 37426275, 37570918, 37510254, 35513199, 35588603, 35478270}
